source_table;transport_number;transport_status;affected_rows;first_seen_utc;last_seen_utc;transport_last_edit_date;transport_last_edit_by
raw_transportdetail;457250;cancelled;1;2026-05-25 02:08:00;2026-05-25 03:20:00;;
raw_transportdetail;445644;cancelled;1;2026-05-26 12:33:00;2026-05-26 14:00:00;;
raw_transportdetail;459215;cancelled;1;2026-06-06 12:00:00;2026-06-06 12:15:00;;
raw_transportdetail;458378;cancelled;3;2026-06-01 09:00:00;2026-06-01 10:45:00;;
raw_transportdetail;451744;cancelled;3;2026-05-11 20:00:00;2026-05-12 01:42:00;;
raw_transportdetail;453532;cancelled;2;2026-05-28 01:39:00;2026-05-28 05:26:00;;
raw_transportdetail;455182;cancelled;1;2026-05-12 01:58:00;2026-05-12 01:58:00;;
raw_transportdetail;456660;cancelled;1;2026-05-28 20:43:00;2026-05-28 21:57:00;;
raw_transportdetail;455754;cancelled;1;2026-05-22 10:20:00;2026-05-22 11:09:00;;
raw_transportdetail;457872;cancelled;1;2026-06-01 06:50:00;2026-06-01 09:51:00;;
raw_transportdetail;453513;cancelled;3;2026-05-15 23:45:00;2026-05-16 02:15:00;;
raw_transportdetail;451276;cancelled;1;2026-05-20 15:29:00;2026-05-20 15:29:00;;
raw_transportdetail;456758;cancelled;1;2026-05-26 12:00:00;2026-05-26 12:00:00;;
raw_transportdetail;454510;cancelled;2;2026-06-06 10:32:00;2026-06-06 16:02:00;;
raw_transportdetail;454982;cancelled;4;2026-05-23 14:00:00;2026-05-23 19:30:00;;
raw_locomotivemovement;457872;cancelled;1;2026-06-01 06:50:00;2026-06-01 09:51:00;2026-06-02 08:54:00.977;0a938aa1-f2d6-4699-ad87-a629069d0037
raw_locomotivemovement;459215;cancelled;1;2026-06-06 12:00:00;2026-06-06 12:15:00;2026-06-06 15:16:19.65;fb075f5f-edc6-41ef-916e-7da02740da3b
raw_locomotivemovement;453532;cancelled;2;2026-05-28 01:39:00;2026-05-28 05:26:00;2026-06-01 10:11:31.847;af293fd0-5bcf-4cd6-bde3-9c41f4bf04ac
raw_locomotivemovement;455182;cancelled;1;2026-05-12 01:58:00;2026-05-12 01:58:00;2026-05-12 07:38:45.497;d72e3ddb-0006-4d4f-9bfa-2ad223b24379
raw_locomotivemovement;456660;cancelled;1;2026-05-28 20:43:00;2026-05-28 21:57:00;2026-06-02 11:30:49.747;f0319a37-d99d-4adb-aa19-2b3f87155325
raw_locomotivemovement;455754;cancelled;1;2026-05-22 10:20:00;2026-05-22 11:09:00;2026-05-26 09:01:20.547;f0319a37-d99d-4adb-aa19-2b3f87155325
raw_locomotivemovement;458378;cancelled;3;2026-06-01 09:00:00;2026-06-01 10:45:00;2026-06-01 14:45:05.473;fa862b7d-0fc2-4360-b85e-74be33c7d007
raw_locomotivemovement;451744;cancelled;3;2026-05-11 20:00:00;2026-05-12 01:42:00;2026-05-16 14:55:39.647;dae9502a-813a-4583-a719-1043cfcd34ec
raw_locomotivemovement;457250;cancelled;1;2026-05-25 02:08:00;2026-05-25 03:20:00;2026-05-25 15:03:45.137;0dc855b9-f48f-46a3-a937-e56c06d9b7ca
raw_locomotivemovement;453513;cancelled;3;2026-05-15 23:45:00;2026-05-16 02:15:00;2026-05-19 09:46:49.96;af293fd0-5bcf-4cd6-bde3-9c41f4bf04ac
raw_locomotivemovement;451276;cancelled;1;2026-05-20 15:29:00;2026-05-20 15:29:00;2026-05-21 10:50:55.977;dae9502a-813a-4583-a719-1043cfcd34ec
raw_locomotivemovement;454510;cancelled;2;2026-06-06 10:32:00;2026-06-06 16:02:00;2026-06-06 17:05:22.587;0dc855b9-f48f-46a3-a937-e56c06d9b7ca
raw_locomotivemovement;454982;cancelled;4;2026-05-23 14:00:00;2026-05-23 19:30:00;2026-05-25 09:34:57.397;fab8757e-d9e3-4cb6-b69a-83467f8f719c
raw_locomotivemovement;456758;cancelled;1;2026-05-26 12:00:00;2026-05-26 12:00:00;2026-06-03 10:53:50.82;05c2d819-5ed5-4fbf-8151-6eec248eeb43
raw_locomotivemovement;445644;cancelled;1;2026-05-26 12:33:00;2026-05-26 14:00:00;2026-06-02 11:16:18.977;f0319a37-d99d-4adb-aa19-2b3f87155325
