TfzE oder tEns*;Beginn der Zuordnung*;Ende der Zuordnung;Nutzer-vEns*;Marktpartner ID für Nutzungsüberlassung
91807193212-6;2026-05-10 14:30:00;2026-05-10 16:30:00;LTE DE - LTE Germany GmbH;1900100400060
91807193212-6;2026-05-10 17:19:00;2026-05-10 22:13:00;LTE DE - LTE Germany GmbH;1900100400060
91807193212-6;2026-05-10 22:58:00;2026-05-10 23:21:00;LTE DE - LTE Germany GmbH;1900100400060
91807193907-1;2026-05-10 18:57:00;2026-05-10 20:41:00;LTE DE - LTE Germany GmbH;1900100400060
91807193907-1;2026-05-10 20:42:00;2026-05-10 21:37:00;LTE DE - LTE Germany GmbH;1900100400060
91807193907-1;2026-05-10 21:37:00;2026-05-10 22:26:00;LTE CZ - LTE Czechia s.r.o.;1900100400060
91807193908-9;2026-05-10 15:18:00;2026-05-10 20:23:00;LTE NL - LTE Netherlands B.V.;1900100400060
91811286940-2;2026-05-10 14:45:00;2026-05-10 20:02:00;LTE NL - LTE Netherlands B.V.;1900100400391
91806185203-7;2026-05-10 15:44:00;2026-05-10 16:23:00;LTE DE - LTE Germany GmbH;1900100401620
91806185203-7;2026-05-10 16:23:00;2026-05-10 21:15:00;LTE DE - LTE Germany GmbH;1900100401620
91806185243-3;2026-05-10 19:18:00;2026-05-10 21:15:00;LTE DE - LTE Germany GmbH;1900100401620
91806185259-9;2026-05-10 14:20:00;2026-05-10 15:05:00;LTE DE - LTE Germany GmbH;DB
91806185259-9;2026-05-10 15:05:00;2026-05-10 19:33:00;LTE DE - LTE Germany GmbH;DB
91806185259-9;2026-05-10 19:33:00;2026-05-10 22:19:00;LTE DE - LTE Germany GmbH;DB
91806185309-2;2026-05-10 19:38:00;2026-05-10 19:40:00;LTE AT - LTE Austria GmbH;1900100401620
91806185309-2;2026-05-10 20:33:00;2026-05-10 22:07:00;LTE DE - LTE Germany GmbH;1900100401620
91806186943-7;2026-05-10 16:00:00;2026-05-10 23:15:00;LTE NL - LTE Netherlands B.V.;1900100400391
91806186944-5;2026-05-10 16:40:00;2026-05-10 21:56:00;LTE NL - LTE Netherlands B.V.;1900100400391
91806189202-5;2026-05-10 14:41:00;2026-05-10 14:43:00;LTE PL - LTE Polska Spółka z o.o.;BRCE Beacon Rail Capital Europe B.V.
91806193251-6;2026-05-10 14:59:00;2026-05-10 20:30:00;LTE DE - LTE Germany GmbH;ELL European Locomotive Leasing GmbH
91806193266-4;2026-05-10 17:47:00;2026-05-10 17:50:00;LTE AT - LTE Austria GmbH;ELL European Locomotive Leasing GmbH
91806193358-9;2026-05-10 16:15:00;2026-05-10 17:54:00;LTE DE - LTE Germany GmbH;DB Cargo AG    Bukr. 0014
91806193375-3;2026-05-10 15:19:00;2026-05-10 18:25:00;LTE DE - LTE Germany GmbH;1900100401620
91806193375-3;2026-05-10 18:25:00;2026-05-10 19:01:00;LTE DE - LTE Germany GmbH;1900100401620
91806193375-3;2026-05-10 19:57:00;2026-05-10 20:00:00;LTE AT - LTE Austria GmbH;1900100401620
91806193377-9;2026-05-10 19:00:00;2026-05-10 22:30:00;LTE DE - LTE Germany GmbH;DB Cargo AG    Bukr. 0014
91806193377-9;2026-05-10 22:52:00;2026-05-10 23:07:00;LTE AT - LTE Austria GmbH;DB Cargo AG    Bukr. 0014
91806193634-3;2026-05-10 15:30:00;2026-05-10 15:33:00;LTE AT - LTE Austria GmbH;1900100400052
91806193729-1;2026-05-10 17:47:00;2026-05-10 17:50:00;LTE AT - LTE Austria GmbH;ELL European Locomotive Leasing GmbH
91806193796-0;2026-05-10 14:33:00;2026-05-10 14:57:00;LTE CZ - LTE Czechia s.r.o.;BRCE Beacon Rail Capital Europe B.V.
91806193854-7;2026-05-10 14:59:00;2026-05-10 18:46:00;LTE DE - LTE Germany GmbH;BRCE Beacon Rail Capital Europe B.V.
91806193968-5;2026-05-10 15:30:00;2026-05-10 15:33:00;LTE AT - LTE Austria GmbH;ELL European Locomotive Leasing GmbH
