run_id;loco_no;coverage_date;exact_overlap_seconds;exact_overlap_minutes;overlap_span_count
RUN_20260609_142008;90802159259-1;2026-06-08;2700;45.0;2
RUN_20260609_142008;91806192999-1;2026-06-08;660;11.0;2
RUN_20260609_142008;90802159259-1;2026-06-05;7200;120.0;3
RUN_20260609_142008;91806189202-5;2026-06-05;1800;30.0;1
RUN_20260609_142008;91850000010-7;2026-06-05;13320;222.0;4
RUN_20260609_142008;90802019402-7;2026-06-04;360;6.0;1
RUN_20260609_142008;90802159259-1;2026-06-04;1740;29.0;3
RUN_20260609_142008;90802019402-7;2026-06-03;540;9.0;1
RUN_20260609_142008;90802159259-1;2026-06-03;2940;49.0;2
RUN_20260609_142008;91806189804-8;2026-06-03;60;1.0;1
RUN_20260609_142008;91806189804-8;2026-06-02;1020;17.0;2
RUN_20260609_142008;91806189806-3;2026-06-02;900;15.0;1
RUN_20260609_142008;91806193803-4;2026-06-02;5580;93.0;4
RUN_20260609_142008;90802159259-1;2026-05-31;14400;240.0;4
RUN_20260609_142008;91806189806-3;2026-05-31;1080;18.0;2
RUN_20260609_142008;91806193299-5;2026-05-30;1500;25.0;2
RUN_20260609_142008;91806193796-0;2026-05-30;1140;19.0;2
RUN_20260609_142008;90802019402-7;2026-05-29;540;9.0;2
RUN_20260609_142008;91806193115-3;2026-05-29;660;11.0;1
RUN_20260609_142008;91807193805-7;2026-05-29;300;5.0;1
RUN_20260609_142008;90802019402-7;2026-05-28;540;9.0;2
RUN_20260609_142008;91806192999-1;2026-05-28;3900;65.0;3
RUN_20260609_142008;90802019402-7;2026-05-27;3360;56.0;3
RUN_20260609_142008;90802159259-1;2026-05-26;2880;48.0;4
RUN_20260609_142008;90802159259-1;2026-05-25;2700;45.0;2
RUN_20260609_142008;91807193230-8;2026-05-25;22320;372.0;5
RUN_20260609_142008;91807193886-7;2026-05-25;1620;27.0;1
RUN_20260609_142008;90802159259-1;2026-05-24;8880;148.0;5
RUN_20260609_142008;91807193886-7;2026-05-24;24240;404.0;4
RUN_20260609_142008;91806189806-3;2026-05-23;3120;52.0;4
RUN_20260609_142008;91806193115-3;2026-05-23;1080;18.0;2
RUN_20260609_142008;91806193299-5;2026-05-23;1380;23.0;3
RUN_20260609_142008;90802159259-1;2026-05-22;4200;70.0;3
RUN_20260609_142008;91806189803-0;2026-05-22;2160;36.0;2
RUN_20260609_142008;91806193796-0;2026-05-22;420;7.0;1
RUN_20260609_142008;90802019402-7;2026-05-21;600;10.0;1
RUN_20260609_142008;91806189803-0;2026-05-21;240;4.0;1
RUN_20260609_142008;91806192999-1;2026-05-21;4500;75.0;3
RUN_20260609_142008;91806193803-4;2026-05-21;2640;44.0;3
RUN_20260609_142008;91807193657-2;2026-05-21;900;15.0;1
RUN_20260609_142008;91807193886-7;2026-05-21;65700;1095.0;9
RUN_20260609_142008;91806185680-6;2026-05-20;900;15.0;1
RUN_20260609_142008;91806189804-8;2026-05-20;900;15.0;1
RUN_20260609_142008;91806192999-1;2026-05-19;3000;50.0;3
RUN_20260609_142008;90802159259-1;2026-05-18;7380;123.0;3
RUN_20260609_142008;90802159256-7;2026-05-17;1620;27.0;1
RUN_20260609_142008;91806185243-3;2026-05-17;1800;30.0;1
RUN_20260609_142008;91806189806-3;2026-05-16;4740;79.0;1
RUN_20260609_142008;91806193115-3;2026-05-16;900;15.0;1
RUN_20260609_142008;91806189202-5;2026-05-15;3600;60.0;1
RUN_20260609_142008;91806193115-3;2026-05-15;12240;204.0;4
RUN_20260609_142008;91806193805-9;2026-05-15;1740;29.0;1
RUN_20260609_142008;90802019402-7;2026-05-14;3720;62.0;2
RUN_20260609_142008;91806189202-5;2026-05-14;300;5.0;1
RUN_20260609_142008;90802159256-7;2026-05-13;120;2.0;1
RUN_20260609_142008;90802159259-1;2026-05-12;1560;26.0;3
RUN_20260609_142008;91806189806-3;2026-05-12;1260;21.0;2
RUN_20260609_142008;91806193803-4;2026-05-12;6300;105.0;5
RUN_20260609_142008;91806189802-2;2026-05-11;1620;27.0;1
RUN_20260609_142008;91807193886-7;2026-05-11;5400;90.0;2
RUN_20260609_142008;91807193886-7;2026-05-10;5400;90.0;2
